Id,Title,Description,Created At,Updated At,Extra,Image Uid,Answered At,Arashi,Category,Likes Count,Answers Count
15571,変わりたい、変われない,"私はいつも失敗を犯す人間です

仕事、対人関係、人生の選択にすら失敗なのではと感じる程です。

以前その失敗の一つの為に友人と険悪になり、
それ以来性格を変えたいと思うようになり、意識するようになりました。

しかしどんなに意識してもすぐに気持ちを変えられる事が出来ず、結局引きずってしまいます。

過去にも同じ様な事があった結果、大阪での就職に失敗し徳島に戻り、
現在実家の自営業で仕事をしていますが、
やはり仕事の失敗を繰り返し、険悪になってしまいます。

もう家にすら自分の居場所が無いように感じます。

最近ネットで調べてみると、発達障害の可能性がある事が分かりました。

ですが大阪時代での鬱の疑いの時に結局思い込みと見なされ、向き合ってくれない様に感じた事から相談もできません。

もうどうしたらいいか分かりません。

落ち込みがピークに達すると、いっそ殺してほしい、死にたく無いけど殺してほしい、
むしろ居なくなりたい、この世に居なかった事になりたい、と思う事もあります。

私に解決策はあるのでしょうか。",2017-01-30 23:33:29 +0900,2017-01-31 17:37:55 +0900,,,2017-01-31 00:15:42 +0900,false,,6,1
15570,母の反対で結婚を諦めましたが、苦しいです,"母から結婚を反対され、彼との結婚を諦めましたが、自分の選択に自信が持てず、苦しいです。

私は実家暮らしです。
8つ歳上の彼と、私の両親とは面識があり、何度か一緒に食事をしたこともありました。

交際から4年が過ぎた頃、私の実家近くで良い条件の中古物件が安く売りに出されているのを母が見つけ、彼と結婚するつもりならそこに住んではと提案してきました。彼と相談のうえ、私の名義で物件を購入、それをきっかけに、結婚の話が具体化していきました。
ある用事で彼が実家に来た際、両親から彼に、今後どうするつもりかと質問があったので彼が説明、両親納得。私の方も、彼・彼母と3人で食事をし、結婚の許可をもらいました。(彼父は仕事の都合がつかないということで欠席)

ところが、いざ諸々の手配を始めようという段になって、母が、結婚には反対だと言いだしたのです。
理由は、とにかく彼が気に入らない。改まった結婚の挨拶がなかった。私より収入が低い。私より学歴が低い。私との食事の際に、彼父が不在だった(だから私を歓迎していない)。歳の割に頼りない。常識も足りない。あんな男のどこが良いのか。彼と結婚したら私が喰い物にされる、と母は言いました。

父は、私の幸せが1番だと、私の肩をもってくれましたが、母はそれが気に入らず。結婚したいならすれば良い、ただし彼と結婚すれば私とは縁を切る、父とも離婚する、と言い始めました。母は気性が激しく、言いだしたことは決して撤回しません。
彼をとって家族を壊すか、親をとるか、2択を迫られたのです。

母はストレスのためか、具合が悪いと言って寝込みました。両親が私のことで喧嘩をし、それを見て妹が泣きました。毎日彼の悪口をきかされ、私に失望したと言われ、私もどんどん追い詰められました。

彼は、私とは結婚したいが、もともと仲の良かった私の家族が、彼のせいで不仲になるのは見ていられない、母とも上手くやっていく自信がない、と言いました。彼両親からも、結婚はしない方が良いのではと言われました。

彼の気持ち、家族への想い。悩んだ末、彼との結婚を諦めました。
でも、本当に好きで、結婚したいと思った相手です。そう簡単に忘れられるはずがありません。そんな私に、母はなお彼の悪口を言い続け、そんなに好きならなぜ出て行かなかったのかと言います。
私の選択は間違っていたのでしょうか。",2017-01-30 22:25:00 +0900,2017-05-28 17:48:56 +0900,,,2017-01-30 23:33:45 +0900,false,家族親族,29,3
15569,叔父について,"母の兄（私からすると叔父）についての相談です。
母方は、祖父母と叔父と母の4人家族でしたが
叔父を残し、皆他界してしまいました。

血筋で見ると姪の私が一番近いのですが
ここ何年か、叔父とは反りが合わず、
祖父母が亡くなった原因
（祖父に関しては叔父が満足にご飯を与えなかった為、硬くなった残飯を食べた際喉に詰まらせた事による窒息死）と、
その後の対応に対して
（お仏壇に腐った食べ物やお花をそのまま放置する等）喧嘩が絶えず、
このまま縁を切り、
行く先々もし叔父の身に何か起きても一切関わらず孤独死し、
お葬式もあげずそのまま無縁仏として埋葬されればいいとでさえ思っています…。
が、しかしそこまでするのはやり過ぎではないのか？お葬式ぐらいは上げるべきではないのか？とも考えてしまいます…

どんどん心が荒むのを感じ、でも許す程の優しさもない状態です。

今後私は叔父に対して、どう対応をすれば良いのでしょうか？
",2017-01-30 21:59:33 +0900,2017-01-31 18:35:38 +0900,,,2017-01-30 23:02:22 +0900,false,家族親族,13,2
15568,約３０年前の事,"お世話になります
私は約３０年前に自然流産をしてしまい水子にしてしまいました
その時は近くの水子供養寺に行きお地蔵様に手を合わせて来ましたが
特別お祓いをしていただくという事はしませんでした
ところが最近色々家族に困難な問題がおきてお寺に手を合わせに行くことがあり調度そのお寺に水子地蔵が有ったのを見て何だか胸が締め付けられる思いがして３０年前の事と今の困難がイコールになってるのかな？
なんて思ってしまいました
きちんと供養してなかったからかな？と思うのです
流産した子の事を忘れた事は無いですけど
その時にきちんと供養すれば良かったかなと思い今改めて供養しても良いのか考えます
３０年とは時が経ち過ぎてますか？",2017-01-30 21:24:20 +0900,2017-02-01 19:10:55 +0900,,,2017-01-30 22:44:03 +0900,false,後悔・自己嫌悪,6,1
15567,1人になりたい…,"生きる事に疲れました。
1人になりたい…。
家族に何かあるたびに、不安になり、心配になります。例えば、病気やケガをするなどですが。
私が父の病気に気づいてあげられなかった事がトラウマになり、深い傷になってます。
ただ、ただ、私が支えなきゃいけないと思ってしまって、苦しいんです。
過度に心配症なだけで、私の考え方がいけないだけなんです。

でも、私は優しい人間じゃないから、心配の裏には、多分家族の病気やケガによりどこか自分の人生が振り回されそうで怖いだけなんです。
仕事とか、プライベートの自由な時間が乱されるのが嫌なだけなのかもしれません。
私は冷たい人間です。
結局は自分の事しか考えてないんです。

1人になれば誰かを心配して、不安になったり、怖くなったりしないのかなぁ…。
自由に過ごせるのかなぁ…。
最近はそんな事ばかり考えてしまいます。

で、毎日気持ちが落ち込んでしまいます。
私は私がなんなのか、どうしたいかも分からない。
よく分からない文章になりすいません。
",2017-01-30 20:29:01 +0900,2017-08-07 21:34:18 +0900,,,2017-01-30 22:53:32 +0900,false,後悔・自己嫌悪,11,2
15566,愚痴ばかり言う自分が嫌です。,"最近とてもイライラすることが多いです。

外では「いつも笑ってて楽しそう」と言われ、友人はそれで勘違いしたのか私に対して何を言っても私が怒らないと思っている節があります。 
無神経な言葉を言う、ありがとうも言わない、いろんなことが気になってどんどんイライラが溜まっていきます。
私は内心、「なんだこいつは！ムカつくムカつくムカつく」と思っています。
自動車学校で嫌な教官にあたってしまったときも上記のようなことを思っています。

その反動でTwitterや家では愚痴を言ってばかりです。
最近ではそんな自分に嫌気がさしてきています。
愚痴を言っても自分のなかでは落ち着かず、更にはこんな愚痴ばかり言っている自分にも嫌になります。

こんな愚痴ばかり言っている自分がとても嫌です。でも愚痴を言わないとどうにもやってられない。

もうこんな愚痴ばかり言う生活は嫌です。
でも自分のイライラとの向き合い方がわからないです。",2017-01-30 19:39:33 +0900,2017-10-07 11:12:47 +0900,,,2017-01-31 02:28:25 +0900,false,後悔・自己嫌悪,25,2
15565,アプローチ,"人生相談と祈祷していただいたお坊さんが気になっております。その方とは10歳程離れており、私は20代前半です。檀家ではないのですが、母と親族がお世話になっており、祖母とその方の父である住職さんとは仲が良いそうです。お礼を兼ねてバレンタインチョコレートを渡したいのですが、変ではないでしょうか？また、未婚らしいですが、三十代の方ですし、住職さんは体調を崩しておりまして、早く結婚を望まれているような気配です。もしかしたら婚約者のような方が居るかもしれません。婚約指輪のようなものはされてませんが、仕事中だとされないかな、と推測してます。下手に好意をだしても、あちらは仕事関係でもあるので無下にもできないだろうし、迷惑をかけるのはやっぱり嫌です。でも、やっぱり婚約者や彼女がいないなら、お食事にも誘ってみたいです。どうやってアプローチすればいいでしょうか？
ちなみにLineは知っています。ただ、Lineは相談や予約用であり、あまり使っているような感じはありません。積極的に送りたいな、とは思いますが、多分仕事用ですし、その方の個人的な話はしづらいです。",2017-01-30 19:32:54 +0900,2017-01-31 11:35:36 +0900,,,2017-01-30 22:33:39 +0900,false,,3,1
15564,もう一つ質問させて下さい。,"死んだら、自分の行いによって、六道のどれかの道を
選ぶことになるのでしょうか。
その中の選択肢に地獄もありますが、自殺した罪で強制的に
送られることはないけど行いによってはそこに行くことに
なる場合もあるのですよね？
どういうことをしたらその地獄へ行くのですか？

地獄にこだわるつもりはありません。しつこく感じられたら
申し訳ありません。今はそんなこと忘れて
生きなさい、と言われるよりこの疑問点を知りたいです。



",2017-01-30 18:36:05 +0900,2017-02-06 12:28:42 +0900,,,2017-01-30 22:41:52 +0900,false,死について,8,2
15563,三男の行動   追加で,先程相談させていただいたことの続きなのですが、他の子供が4人おります。長男は私の連れ子で彼には伝えてません。次男は主人の連れ子でお嫁さんにも知れてます。ただお嫁さんの実家には秘密にしてます。長女、次女は知っています。私の実家にも主人の実家にも兄弟にも話していません。話せないんです。来月か再来月におそらく三男の子供が生まれると思いますが、生まれてみないと三男の子供かどうかもわかりません。三男は21歳、中学、高校、就職後、散々家族に迷惑をかけることをしてきました。その都度話しその都度許し、真面目になることを家族を裏切ることをしない事を信じてきましたが、人生で1番大事な選択を自分勝手にしてまた選ばなくてもいい相手を選び、家族兄弟との連絡を完全に無視している状況です。出来ちゃった入籍をする前にも詐欺まがいのネットワークビジネスに手を出し、消費者金融に借金もしてました。一切関わらないつもりではいるんです。許しても信じても一年持たない事ばかりだったのであえて今回は事が事なので、完全に縁を切る方向をとりました。どうするのが得策なのでしょうか？ほかの子供達に迷惑をかけないようにしてやるには親としてどうすればいいのでしょうか？何度もすみません、教えてもらえませんでしょうか？,2017-01-30 17:56:13 +0900,2017-02-01 17:11:39 +0900,,,2017-01-30 22:08:11 +0900,false,心構え・生きる智慧,3,1
15562,こじれてしまった友人との付き合い方について,"以前10年片思いしている人を忘れられないと相談したものです。その彼（Ａさん）には他の方とお付き合いするという理由でふられました。それについての心のけじめはすでについており、私には素敵な彼氏ができました。今回はそのＡさんのことで相談があります。
ＡさんとＡさんの彼女と私の彼氏と私は同じスポーツクラブに通っています。以前は4人で遊ぶこともありましたが、互いに付き合うようになってからは、会うのを避けています。クラブには事情を説明し、他の参加者の方にも説明のうえ、私たちは休んでおります。クラブ活動日以外には参加者の方と一緒に練習しており、他の方々との仲は良好です。年明けからは月に何度かは練習日に参加していますが、2人が来ない日を選んで行っております。

参加者からは「Ａさんたちの行動は目に余るものがある」等様々な話を聞いております。二人の世界に浸っており、誰も何も言えないと言うのが現状のようです。
色々な方から「早く一緒に練習したい。でも彼らの行動は酷いから来ない方がいい。」と言われています。
それ以外にも、Ａさんたちカップルの発言、行動で私たちはかなり傷ついておりますが、本人たちは無自覚でやっているので、今は無視しています。
しかし、先日私が県の強化選手に選ばれたこともあり、そろそろ練習を多くしたいと考えていて、他の方々にも「互いに話し合って来る日を交代にしたら？」と言われました。
Ａさんに提案すると「俺たちだって練習したいから無理」と回答を得ました。
今はクラブのその他行事もＡさんたちが参加するものは全て欠席しており、いつまでも今のままではいけないと感じています。クラブにこれ以上迷惑をかけないためにも脱退も考えており、Ａさんにそのことについて伝えると「私情を挟むのはおかしい」と言われました。

正直なところ、今までは落ち着いたらＡさんたちとも仲良くできるといいなと考えていましたが、彼らの行動や発言が酷すぎてすごく嫌いになっています。正直顔も見たくないです。
クラブの方にはすごくよくしてもらい、強化選手に選ばれた時も皆さんが応援してくれて、新設のクラブなので「看板選手になってね」と声をかけてくださいました。

クラブには今後どうしていくべきか相談するつもりですが、私は彼らとどのように付き合っていけばいいのでしょうか。うまく付き合っていく方法があれば知りたいです。",2017-01-30 17:13:50 +0900,2017-02-01 00:52:25 +0900,,,2017-01-30 23:25:44 +0900,false,他人・友人関係,7,2
