Id	Confirmed At	Confirmation Sent At	Unconfirmed Email	Role	Nick Name	Image Uid	Temple	Is Female	Birth Year	Prefecture Code	Created At	Updated At	Likes Count	Answers Count	Email Receivable	Position	Profile	Twitter Name	Blog Url	Introduction	Profile Title	Last Answered At	Premium Expire On	Problem	Prefecture Acl Code	Profile Acl Code	Problem Acl Code	Is Resigned	Mail Daily	Mail Frequency
30640	2017-01-30 23:52:02 +0900	2017-01-30 23:51:06 +0900			mirai			TRUE	1987	11	2017-01-30 23:51:06 +0900	2017-01-31 00:08:33 +0900	0	0	TRUE		"介護施設の調理員
両親は70代で、兄が5人いる末っ子です。

私の性格は、明るくお調子者の所があります。
思い立ったら吉日の精神があるのか、これだ！と思った事はまずチャレンジするタイプです。
人からは、行動力と向上心に驚かれます。
話し合えば分かり合えると思ってしまうため、ちょっとしたぶつかり合いを招いてしまう所も。。。
だだ、最近それが仇となって、彼氏と別れてしまいました。
本当はもっと人間関係を良くしていきたいと思っています。もめ事を増やしたい訳ではなく、良くしていきたいと思ってるのですが、うまく伝えられないです。"					1970-01-01 00:00:00 +0900		相手を大切にするのが先なのか、自分を大切にするのが先なのかわからなくなる	0	0	0	FALSE	TRUE	daily
30639	2017-01-30 23:50:28 +0900	2017-01-30 23:50:08 +0900			ここあ			TRUE	1978	28	2017-01-30 23:50:08 +0900	2017-01-31 02:02:50 +0900	0	0	TRUE		バツイチ子連れ再婚者。成人洗礼のカトリック信徒。長女は私が洗礼を受ける時に一緒に洗礼を受けたクリスチャン。受洗後再婚した主人は、長男で、義実家には中が金色の仏壇あり。次女１歳は宗派は、何処にも属していない。					1970-01-01 00:00:00 +0900		収集グセ。浪費グセ。	0	0	0	FALSE	TRUE	daily
30638	2017-01-30 23:48:40 +0900	2017-01-30 23:48:16 +0900			にゃぁ			FALSE	1964	1	2017-01-30 23:48:16 +0900	2017-01-30 23:49:22 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1	0	1	FALSE	TRUE	daily
30636		2017-01-30 23:43:30 +0900			にゃぁ			FALSE			2017-01-30 23:43:30 +0900	2017-01-30 23:43:30 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30635	2017-01-30 23:18:18 +0900	2017-01-30 23:17:16 +0900			しずく			TRUE	1994	40	2017-01-30 23:17:16 +0900	2017-02-08 20:11:47 +0900	0	0	TRUE		"幼少期からずっと夢見て、夢を叶え看護師になり一年目です。
２人姉妹の長女です。
性格的には、のんびりさんです。
ナイーブなハートですがいざ、窮地に陥ったり追い込まれると、火事場の馬鹿力を発揮して乗り越えてきたことが多いです。"					1970-01-01 00:00:00 +0900			0	0	1	FALSE	TRUE	daily
30634	2017-01-30 22:45:57 +0900	2017-01-30 22:45:36 +0900			ナオ			FALSE			2017-01-30 22:45:36 +0900	2017-01-30 22:45:57 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30633	2017-01-30 22:45:21 +0900			user	中田			FALSE	1987	13	2017-01-30 22:45:21 +0900	2017-01-30 22:46:21 +0900	0	0	FALSE							1970-01-01 00:00:00 +0900		彼女のことが好きすぎる	0	0	1	FALSE	TRUE	daily
30632		2017-01-30 22:24:53 +0900			きょん			FALSE			2017-01-30 22:24:53 +0900	2017-01-30 22:24:53 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30630		2017-01-30 21:30:50 +0900			カヤ			TRUE			2017-01-30 21:30:50 +0900	2017-01-30 21:30:50 +0900	0	0	TRUE							1970-01-01 00:00:00 +0900			1		1	FALSE	TRUE	daily
30629	2017-01-30 21:27:05 +0900	2017-01-30 21:25:25 +0900			のぞみ			TRUE	1980	13	2017-01-30 21:25:25 +0900	2017-05-22 17:52:54 +0900	0	0	TRUE		"英才教育を受け慶応に通いましたが、やりたいことは芸事で、大学に行きながらダブルスクールで芝居の勉強をしていました。
小さいプロダクションに受かって、役者志望だったのにアイドルの仕事をしました。それだけでは食えなかったので、普通の仕事もしていました。事務所が潰れてから自分で裏方もこなして、何作も自分も出演できる映画を作りました。
プロダクション時代から毎月ライブをしていて、役者より音楽に向いていると感じ、映画を作りながら音楽も作って、作って、作って、どれも売れないまま、30を迎え、それでも踏ん張り、踏ん張り、35を迎えました。"					1970-01-01 00:00:00 +0900		"自分のパフォーマンスが認められること。もっと具体的にすると、お客さんが中規模以上のライブハウスにいっぱいにくること。知り合いじゃなくて、ファンがくること。
"	0	0	0	FALSE	TRUE	daily
